name,id,genre
Finger Eleven,0niJkG4tKkne3zwr7I8n9n,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge', 'rap rock']"
Tai Verdes,2kCO8LXN1usaOPL3iEE28I,"['modern indie pop', 'pop']"
Jaden,0xOeVMOz2fVg5BJY3N6akT,"['pop', 'rap']"
Bru-C,7GDrXlpRrdG29o4n0pNR5D,['nottingham hip hop']
Bou,35dxfY1wywqVRUEaVuMm13,"['bass house', 'deep rai']"
Simula,2KCmoJZgpL6hNFdT4l9PTl,"['bass house', 'jump up', 'uk dnb']"
Bruno Mars,0du5cEVh5yTK9QJze8zA0C,"['dance pop', 'pop']"
NAYANA IZ,2d8cMSPIFolHyxuox8ESfm,['uk alternative hip hop']
Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
J. Cole,6l3HvQ5sa6mXTsMTB19rO5,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
Fabri Fibra,7u710e44HW3K7A5eTnRqHC,"['italian hip hop', 'rap napoletano']"
Izi,6289Bbkkk3gaCbh1K7Rv8F,"['indie liguria', 'italian hip hop', 'rap genovese', 'trap italiana']"
Hard GZ,79N4S7UXdjo2fAh3OHJQuB,"['rap espanol', 'rap politico', 'rap underground espanol']"
Dollar Selmouni,2544NCTfffschCn1NZVMSb,"['rap espanol', 'urbano espanol']"
"Royce Da 5'9""",6DVipHzYsPlIoA0DW8Gmns,"['alternative hip hop', 'detroit hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'southern hip hop']"
Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'hip hop', 'rap']"
King Green,3jivTPQnC8Vupqc3EFO33c,['Without Genre']
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,['brooklyn drill']
Bad Meets Evil,77IURH5NC56Jn09QHi76is,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
Lil Wayne,55Aa2cqylxrFIXC767Z865,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul', 'urban contemporary']"
XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,"['emo rap', 'miami hip hop']"
SIDEPIECE,5czbzNZZfWpyFgZyfT3Mkk,"['bass house', 'edm', 'electro house', 'house', 'pop dance']"
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,"['chicago rap', 'rap']"
Jake Fonda,3ANPvyODat66jmYRyth6Qs,['Without Genre']
Songer,1iW3b73XWPQSknLyH5kDrd,"['chill drill', 'uk alternative hip hop']"
Mr Traumatik,2ZKsAq380W6XWsyWyuKv3Z,"['grime', 'welsh hip hop']"
Devilman,73nEd2GvjMYNSsFnxKSDAK,"['bass house', 'birmingham grime', 'birmingham hip hop', 'grime']"
OneDa,1DwRZpAKiTkUXcprfnxEFr,['Without Genre']
SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,"['melodic rap', 'rap', 'slap house']"
Silent Bob,4oEO6Ud3efrjTNSR9SMleI,['italian hip hop']
Sick Budd,5h8RF4h6OhX1zIssiLPndr,['Without Genre']
En?gma,5pbBGJlVCUzwmdfd1Q1tEX,['italian hip hop']
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu,"['hip hop', 'ohio hip hop', 'rap']"
Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Manudigital,1EPdzkPNE9fwx1qhN4mUrH,"['french dub', 'french reggae']"
Joseph Cotton,3Nl5krgTVhE7EPc8Qv8ME7,['old school dancehall']
Dani Faiv,0ffKEtMDnROKWyJtXUnLbJ,['italian hip hop']
WC,3NgwMzys77S7sgfh2W5k0V,"['gangster rap', 'hip hop', 'rap', 'west coast rap']"
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
Nate Dogg,1Oa0bMld0A3u5OTYfMzp5h,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
OTP,3AFt30387waHIjjDL63XeI,['melodic drill']
Cat Burns,6WFDpw4u23uSpon4BHvFRn,['pop']
goddard.,3yDDYheQFqfhKZXdjFQuuP,['uk dnb']
BOA Hunxho,2F3LBiE1vrZao4CoBEkKG6,['Without Genre']
BOA QG,1urzwf2o9FcFCgcmkPgcgZ,['Without Genre']
Spud and Cam,680lYkxBADLoZUWQRQBdzg,['Without Genre']
Nerone,7kG6A2lZMXeaD5YkubF5Kn,['italian hip hop']
Mondo Marcio,6Fd10Q3sQq1NsvpFTlvMsN,"['italian hip hop', 'italian underground hip hop']"
Dabwoykd,26xVAa6CbjuKkvvQUSRaeO,['uk drill']
Slava,2OauM2Rnpf6CBDwTtrS2vU,['italian hip hop']
Audioslave,2ziB7fzrXBoh1HUPS6sVFn,"['alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']"
Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,"['ohio hip hop', 'pop rap']"
Madonna,6tbjWDEIzxoDsBA1FuhfPW,"['dance pop', 'pop']"
Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']"
Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,"['dance pop', 'hip hop', 'pop', 'pop rap', 'urban contemporary']"
ARIETE,2T4kh33TYdnDesvlQyRst8,['rome indie']
Mecna,4yUvIAm9mSJyLt1WLrOxAZ,"['italian hip hop', 'italian indie pop', 'r&b italiano']"
Luciennn,6qHbYx76y5bQSbBMUYhhuP,['Without Genre']
Verano,1UY14QmPtbYtJp41TBmquK,['Without Genre']
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,"['melodic rap', 'rap', 'trap']"
Young Money,5OrB6Jhhrl9y2PK0pSV4VP,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
Drake,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
Kacey Musgraves,70kkdajctXSbqSMJbQO424,"['country dawn', 'pop', 'texas country']"
BENJI PATTERSON,4PxB0jPYitaS2xQFP5LY7s,['Without Genre']
Sine,4IEJn7FhTQoNgvSlBH8H6n,['Without Genre']
Anna Kendrick,6xfqnpe2HnLVUaYXs2F8YS,"['hollywood', 'movie tunes']"
SZA,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b']"
Massimo Pericolo,1El4YQA8oCXX7ynFSxRTFq,"['italian hip hop', 'trap metal italiana']"
Nic Sarno,3PbxfXGwcCLn85zVQK1ulo,['Without Genre']
Egreen,4CSFu5TxKb1Z2GeO1LxZU4,"['italian hip hop', 'italian underground hip hop']"
Thorb,4sTIVf4kmLrXbQcvARUx8A,['Without Genre']
Logic,4xRYI6VqpkE3UwrDrAZL8L,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']"
Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Central Cee,5H4yInM5zmHqpKIoMNAx4r,['melodic drill']
Emis Killa,6FtwCmLY6L1sqvjaQ2lV6G,"['italian hip hop', 'italian pop']"
RollzRois,1fTtdB7ppQhdFosmH7nxGR,['Without Genre']
Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,"['indietronica', 'irish rock', 'modern rock', 'northern irish indie', 'rock']"
Tesher,49YbNTLaaAbZHLtDI2aPGL,['Without Genre']
DarkMode,3adHo2mQl0i6oATmotIjRE,['Without Genre']
347aidan,0bBz5bRBkExaej2HxtVfCw,['sad rap']
Aries,3hOdow4ZPmrby7Q1wfPLEy,"['pop', 'pop rap', 'sad rap']"
Brokenspeakers,4Ttq7tTGmx28IM7sN0nEMa,['italian underground hip hop']
The Game,0NbfKEOTQCcwd6o7wSDOHI,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']"
50 Cent,3q7HBObVc0L8jNeTe5Gofh,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
Madame,1vgQksyJ0IVz8y9XerEOy3,"['italian hip hop', 'italian pop', 'trap italiana']"
Luude,20cmhoGvN0eyzhmsHJH1Mg,['aussietronica']
Colin Hay,5mxB08ktCukEhGMg2YZeEv,"['neo mellow', 'solo wave']"
JMB Juvie,25zUbJzU1WGRTN5Y0ajRzd,['Without Genre']
Yeico X Toni,5ZwHSnkRmmVg73BeI4Ne4f,['Without Genre']
Yeico,5hjHdxNPS2SGCNQM80eFhl,['Without Genre']
Toni,5mbFiIMNuHNsE3dyOBu7F6,['Without Genre']
Marz,2PmfTGENqjIKHRucbD5aJO,['Without Genre']
Inoki,0nKxW51VOD6px2uMM4ehfF,"['italian hip hop', 'italian underground hip hop']"
Luchè,3yiEJ9SByXZMXTwaKdVFN4,"['italian hip hop', 'rap napoletano']"
Warez,4WdCVm6hL5quAfNhZzCB1s,['italian hip hop']
Motogucci,5x3aBCDY6SEv0jmb7S57Aq,['Without Genre']
Joey Valence & Brae,1q4618qKswelCGLoanFKQh,['Without Genre']
Brae,1QGptNgo1M6cD7EjrFZmRp,['Without Genre']
Dillistone,7ypPN35cJ9wfF2Zs7aYS33,['pop edm']
NOËP,0SjnenkLIpqRE9SUzogeOp,"['estonian electronic', 'estonian pop']"
KAROL G,790FomKkXshlbRYZFtlgla,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
Paky,1KQJOTeIMbixtnSWY4sYs2,"['italian hip hop', 'trap italiana']"
Geolier,27LlKWxS3KXW7RRAxN5S8s,"['italian hip hop', 'rap napoletano', 'trap italiana']"
Ozuna,1i8SpTcr7yvPOmcqrbnVXY,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,"['dance pop', 'edm', 'pop', 'pop rap', 'post-teen pop']"
The Script,3AQRLZ9PuTAozP28Skbq8V,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock']"
Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
Ava Max,4npEfmQ6YuiwW1GpUmaq3F,"['dance pop', 'pop']"
Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,"['indie poptimism', 'modern rock', 'pop']"
zzoilo,7c53ZFyajVMTo08HmvoB6b,['Without Genre']
Aitana,7eLcDZDYHXZCebtQmVFL25,"['latin pop', 'latin talent show', 'spanish pop']"
Jonasu,7u4ayw4QFEsolPxZgnPAMT,"['dutch edm', 'pop dance', 'pop edm', 'tropical house', 'uk dance']"
